ID_Venda,Data_Venda,Produto,Categoria,Preço_Unitário,Quantidade,Método_Pagamento,Região,Canal_Venda,Tipo_Cliente,Valor_Total
1,2023-01-01 00:00:00,Smartphone,Fotografia,4035.17,8,Pix,Norte,Marketplace,Novo,32281.36
2,2023-01-01 01:00:00,Notebook,Periféricos,1562.03,3,Boleto Bancário,Sul,Website,Recorrente,4686.09
3,2023-01-01 02:00:00,Smartwatch,Acessórios,4836.77,5,Boleto Bancário,Sul,Website,Recorrente,24183.850000000002
4,2023-01-01 03:00:00,Headphone,Fotografia,3231.56,7,PayPal,Nordeste,Marketplace,Novo,22620.92
5,2023-01-01 04:00:00,Headphone,Impressoras,2147.84,2,Cartão de Crédito,Norte,Redes Sociais,Recorrente,4295.68
6,2023-01-01 05:00:00,Tablet,Fotografia,1913.55,10,Pix,Centro-Oeste,Redes Sociais,Recorrente,19135.5
7,2023-01-01 06:00:00,Smartphone,Eletrônicos,1776.11,2,Boleto Bancário,Norte,Website,Novo,3552.22
8,2023-01-01 07:00:00,Impressora,Impressoras,1297.39,10,Boleto Bancário,Sul,Marketplace,Novo,12973.900000000001
9,2023-01-01 08:00:00,Smartphone,Fotografia,2360.16,7,Boleto Bancário,Nordeste,Website,Novo,16521.12
10,2023-01-01 09:00:00,Câmera,Periféricos,3402.12,6,Boleto Bancário,Sul,Redes Sociais,Novo,20412.72
11,2023-01-01 10:00:00,Teclado,Periféricos,4130.34,8,Pix,Centro-Oeste,Website,Novo,33042.72
12,2023-01-01 11:00:00,Notebook,Impressoras,2015.91,1,Cartão de Crédito,Norte,Redes Sociais,Novo,2015.91
13,2023-01-01 12:00:00,Notebook,Acessórios,556.44,2,Pix,Centro-Oeste,Website,Novo,1112.88
14,2023-01-01 13:00:00,Smartphone,Impressoras,2581.99,4,Pix,Centro-Oeste,Marketplace,Novo,10327.96
15,2023-01-01 14:00:00,Headphone,Periféricos,3328.66,3,PayPal,Sudeste,Website,Recorrente,9985.98
16,2023-01-01 15:00:00,Headphone,Impressoras,4224.26,10,Boleto Bancário,Centro-Oeste,Redes Sociais,Novo,42242.600000000006
17,2023-01-01 16:00:00,Impressora,Eletrônicos,1902.44,1,Boleto Bancário,Nordeste,Marketplace,Novo,1902.44
18,2023-01-01 17:00:00,Câmera,Eletrônicos,3254.34,3,Cartão de Crédito,Centro-Oeste,Marketplace,Novo,9763.02
19,2023-01-01 18:00:00,Notebook,Acessórios,3064.8,3,Cartão de Crédito,Centro-Oeste,Marketplace,Recorrente,9194.400000000001
20,2023-01-01 19:00:00,Impressora,Impressoras,1527.46,8,PayPal,Sudeste,Redes Sociais,Recorrente,12219.68
21,2023-01-01 20:00:00,Headphone,Impressoras,585.12,9,PayPal,Sudeste,Redes Sociais,Recorrente,5266.08
22,2023-01-01 21:00:00,Impressora,Impressoras,365.99,5,PayPal,Sul,Redes Sociais,Novo,1829.95
23,2023-01-01 22:00:00,Teclado,Impressoras,4942.39,7,Boleto Bancário,Sul,Redes Sociais,Recorrente,34596.73
24,2023-01-01 23:00:00,Headphone,Acessórios,3220.94,10,Boleto Bancário,Centro-Oeste,Website,Novo,32209.4
25,2023-01-02 00:00:00,Mouse,Periféricos,4314.38,10,Cartão de Crédito,Sul,Redes Sociais,Novo,43143.8
26,2023-01-02 01:00:00,Câmera,Fotografia,1342.68,8,Cartão de Crédito,Nordeste,Redes Sociais,Novo,10741.44
27,2023-01-02 02:00:00,Smartwatch,Acessórios,3569.91,4,PayPal,Nordeste,Marketplace,Novo,14279.64
28,2023-01-02 03:00:00,Notebook,Periféricos,4467.25,4,Pix,Nordeste,Website,Recorrente,17869.0
29,2023-01-02 04:00:00,Tablet,Periféricos,1529.02,6,Cartão de Crédito,Sudeste,Marketplace,Novo,9174.119999999999
30,2023-01-02 05:00:00,Teclado,Periféricos,792.15,5,Boleto Bancário,Sudeste,Website,Novo,3960.75
31,2023-01-02 06:00:00,Monitor,Impressoras,3839.1,10,Cartão de Crédito,Norte,Redes Sociais,Novo,38391.0
32,2023-01-02 07:00:00,Smartwatch,Acessórios,4503.45,5,Boleto Bancário,Nordeste,Redes Sociais,Recorrente,22517.25
33,2023-01-02 08:00:00,Tablet,Periféricos,4036.88,7,Pix,Centro-Oeste,Marketplace,Novo,28258.16
34,2023-01-02 09:00:00,Headphone,Fotografia,4021.7,6,PayPal,Sul,Website,Recorrente,24130.199999999997
